"advertiserId","programmeName","conversionRate","approvalRate","epc","launchDate","paymentStatus","paymentRiskLevel","awinIndex","feedEnabled","productReporting","commissionMin","commissionMax","leadMin","leadMax","cookieLength","parentSectors","subSectors","primarySector","averagePaymentTime","primaryRegion","descriptionShort","logoUrl","displayUrl"
"100549","Kaminofen-Ersatzteil.de","3.5027","95.19","0.12","2024-09-18","amber","exposurelevel1","58.3494","yes","no","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","76","DE","Auf kaminofen-ersatzteil.de finden Sie eine große Auswahl an Ersatzteilen für Kamin- und Pelletöfen. Mit benutzerfreundlicher Navigation und schneller Lieferung sorgen wir dafür, dass Ihr Ofen rasch wieder einsatzbereit ist. Kompetente Beratung inklusive.","https://ui.awin.com/images/upload/merchant/profile/100549.png","https://www.kaminofen-ersatzteil.de/"
"102771","Orgonit Orgonic-Art DE","8.1257","97.00","0.52","2024-09-27","amber","exposurelevel1","77.1615","yes","no","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","51","DE","Traditions-Orgonit-Manufaktur. Kraftvolle Orgoniten nach Wilhelm Reich mit wissenschaftlich nachgewiesener Wirkung. Made in Germany mit regionalen Materialien. Gemacht um zu wirken.","https://ui.awin.com/images/upload/merchant/profile/102771.png","https://www.orgonic-art.com/"
"101479","Freikopf DE","25.2381","100.00","1.15","2024-09-24","amber","exposurelevel1","55.115","no","no","0","0","0","0","30","Retail & Shopping","FMCG","FMCG","99","DE","FREIKOPF – non-alcoholic drinks Alkoholfreie Drinks auf Basis echter Destillate, die für Geschmacksexplosionen sorgen und Cocktails zum Highlight machen – ohne Hangover!","https://ui.awin.com/images/upload/merchant/profile/101479.png","https://freikopf.com/"
"101601","JOOLA DE","12.5977","94.34","0.85","2024-09-05","amber","exposurelevel1","73.206","yes","no","0","0","0","0","30","Retail & Shopping","Sports Equipment|Sportswear","Sports Equipment","53","DE","Vom Amateur bis zum Profi – unsere Tischtennisschläger, Tischtennisbeläge und Tischtennisplatten, unser Pickleball-Equipment sowie unsere Sportswear bilden die komplette Range für alle Bedürfnisse ab.","https://ui.awin.com/images/upload/merchant/profile/101601.png","https://joola.de/"
"85743","50 ml DE","1.15281","41.33","0.10","2024-09-03","amber","exposurelevel1","49.7598","yes","no","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","60","DE","50 ml ist der Ort, an dem Menschlichkeit und Vertrauen auf die Effizienz und den Komfort des Online-Shoppings treffen. Wir wollen unsere ganze Leidenschaft für Nischenprodukte, von Parfüm bis Kosmetik, vermitteln.","https://ui.awin.com/images/upload/merchant/profile/85743.png","https://50-ml.de/"
"20202","Wondershare DE","2.65255","95.34","0.38","2020-09-29","amber","exposurelevel2","45.5948","no","yes","0","0","0","0","30","Retail & Shopping|Telco's & Services","Audio Visual|Automotive|Books & Subscriptions|Childrenswear|Clothing|Clothing Accessories|Computers|Department Stores|DIY|Electronic Accessories|Electronic Superstore|Entertainment Superstore|Erotic|FMCG|Furniture & Soft Furnishings|Gadgets|Gifts & Flowers|Green (Eco friendly)|Group Buying|Health & Beauty|Home & Garden|Jewellery|Lead Gen|Lingerie|Menswear|Music & DVD|Office Supplies|PC & Video Games|Pets & Pet Care|Pharmaceuticals|Photography|Photos & Print Services|Shoes|Sports Equipment|Sportswear|Toys & Games|White Goods|Wine Spirits & Tobacco|Womenswear|Education Training & Recruitment|Entertainment Downloads|Software Downloads|Baby & Toddler","Software Downloads","124","DE","Unsere Software und Produkte sind in über 150 Ländern weltweit vertreten. Wir lassen uns ständig von unseren Usern inspirieren und sind bestrebt, einfache und leicht zu bedienende Software für ihre Bedürfnisse zu erstellen.","https://ui.awin.com/images/upload/merchant/profile/20202.png","https://www.wondershare.de"
"107764","Water to Go Europe","","0.00","0.00","2025-02-26","amber","exposurelevel1","0","yes","no","0","0","0","0","30","Retail & Shopping","FMCG|Gifts & Flowers|Green (Eco friendly)|Health & Beauty|Sports Equipment","Green (Eco friendly)","null","NL","Our 100% sustainable water filter bottles remove up to 99.9999% of all harmful substances (laboratory-certified). Perfect for travelling, outdoor sports - without plastic!Drink immediately from any fresh water source - the solution for safe drinking water","https://ui.awin.com/images/upload/merchant/profile/107764.png","https://watertogo.net/nl/"
"54863","Coupert Limited (US)","0.970032","24.69","0.04","2023-06-26","green","none","31.4159","no","no","0","0","0","0","1","Finance & Insurance|Retail & Shopping|Telco's & Services|Travel","Savings & Investments|Automotive|Books & Subscriptions|Childrenswear|Clothing|Clothing Accessories|Computers|Department Stores|DIY|Electronic Accessories|Electronic Superstore|Entertainment Superstore|FMCG|Furniture & Soft Furnishings|Gadgets|Gifts & Flowers|Green (Eco friendly)|Group Buying|Health & Beauty|Home & Garden|Jewellery|Lead Gen|Lingerie|Menswear|Music & DVD|Office Supplies|PC & Video Games|Pets & Pet Care|Pharmaceuticals|Photography|Photos & Print Services|Shoes|Sports Equipment|Sportswear|Toys & Games|White Goods|Wine Spirits & Tobacco|Womenswear|Mobile Downloads|Software Downloads|Airlines|Hotels & Accommodation|Baby & Toddler","Software Downloads","74","US","Coupert provides multiple smart shopping tools across platforms. By testing coupons and giving cash back, we aims to help users maximize their savings.","https://ui.awin.com/images/upload/merchant/profile/54863.png","https://www.coupert.com/"
"99887","Desktronic DE","11.352","59.39","2.76","2024-08-26","amber","exposurelevel5","74.3342","yes","no","0","0","0","0","30","Retail & Shopping","Office Supplies","Office Supplies","24","DE","Desktronic ist hier, um Ihr Arbeiten komfortabel zu gestalten. Hier finden Sie elektrisch höhenverstellbare Schreibtische in verschiedenen Farben und Größen, dazu bequeme ergonomische Stühle und so vieles mehr. Unser Ziel ist es, hohe Qualität zu Preisen.","https://ui.awin.com/images/upload/merchant/profile/99887.png","https://desktronic.de/"
"20700","RidersDeal DE","33.3333","100.00","2.79","2020-10-15","green","none","0","no","no","0","0","0","0","30","Retail & Shopping","Pets & Pet Care|Sports Equipment","Sports Equipment","63","DE","RidersDeal steht für Sparen im Reitsport. Mit unseren Deals ermöglichen wir es Reitern, Produkte namhafter Marken zu absoluten Schnäppchenpreisen zu ergattern.","https://ui.awin.com/images/upload/merchant/profile/20700.png","https://www.ridersdeal.com/"
